TmStamp,RecNum,BattV_Min,TrackerWM_Avg,Tracker2WM_Avg,ShadowWM_Avg,SunWM_Avg,ShadowbandWM_Avg,DNICalc_Avg,AirTC_Avg,RH,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,BP_mB_Avg,UVA_Avg,UVB_Avg
01/01/2020 00:00:00,28856,13.7,0,0,0,0,0,0,20.77,58.43,3.593,139,35.75,997.0413,0,0.01193489
01/01/2020 01:00:00,28857,13.71,0,0,0,0,0,0,19.77,66.95,1.583,178.2,38.49,997.0331,0,0.01194116
01/01/2020 02:00:00,28858,13.71,0,0,0,0,0,0,18.96,68.8,0.107,94.7,7.107,996.6198,0,0.01198121
01/01/2020 03:00:00,28859,13.71,0,0,0,0,0,0,17.64,72.23,0.099,89.6,15.61,996.2736,0,0.01199155
01/01/2020 04:00:00,28860,13.7,0,0,0,0,0,0,16.6,78.48,0.202,348.8,26.76,995.9152,0,0.01204309
01/01/2020 05:00:00,28861,13.7,0,0,0,0,0,0,15.24,84.6,0.588,352.5,26.36,996.0803,0,0.01206757
01/01/2020 06:00:00,28862,13.7,0,0,2.995747,3.03088,2.766136,0,14.62,85.9,0.219,357.7,19.33,996.4164,0.05177614,0.04632006
01/01/2020 07:00:00,28863,13.71,412.9445,0,30.7651,111.4628,33.54586,408.7979,15.98,72.43,0.257,51.35,12.03,996.79,1.042829,0.4566493
01/01/2020 08:00:00,28864,13.7,773.1033,0,50.42544,333.9799,51.68065,781.8756,19.63,67.36,0.745,336.5,26.73,997.0768,4.692759,1.333483
01/01/2020 09:00:00,28865,13.71,896.1503,0,62.51755,555.6893,61.00397,898.1346,21.95,56.48,1.505,321.8,29.57,997.1891,11.69304,2.396056
01/01/2020 10:00:00,28866,13.71,964.1887,0,65.87217,756.1346,62.36053,966.1309,24.76,48.06,0.021,332.8,2.07,997.1498,20.98996,3.385111
01/01/2020 11:00:00,28867,13.71,985.4963,0,76.44332,906.4174,73.85356,980.4338,25.56,48,0,0,0,997.1942,29.87506,4.144856
01/01/2020 12:00:00,28868,13.71,1001.722,0,78.81756,1006.499,75.77676,990.7072,26.96,44.54,0,0,0,997.0022,36.72504,4.664481
01/01/2020 13:00:00,28869,13.71,1007.166,0,82.30934,1055.799,79.28442,995.9449,28.77,47.99,0,0,0,996.5295,39.93905,4.862312
01/01/2020 14:00:00,28870,13.71,1005.785,0,86.28275,1048.399,82.42587,995.0654,27.91,48.82,0,0,0,996.0339,39.37503,4.862294
01/01/2020 15:00:00,28871,13.71,993.1312,0,85.34489,974.9021,80.6492,982.5731,27.66,47.97,0,0,0,995.8604,34.71616,4.534374
01/01/2020 16:00:00,28872,13.71,954.6646,0,86.57207,846.855,81.13709,953.7012,28.36,47.85,0,0,0,995.3902,26.7052,3.860703
01/01/2020 17:00:00,28873,13.71,895.2631,0,84.48786,664.3701,80.02425,891.7665,27.82,50.01,3.312,237.4,30.6,995.0211,17.20145,2.95826
01/01/2020 18:00:00,28874,13.71,789.9365,0,79.08662,452.1313,76.53671,786.2489,26.99,57.46,3.695,234.3,31.89,994.7825,8.565788,1.921958
01/01/2020 19:00:00,28875,13.7,592.4597,0,62.26456,228.1971,63.09337,581.5797,25.5,61.55,1.614,246.3,16.19,994.9556,2.769294,0.9176378
01/01/2020 20:00:00,28876,13.71,219.87,0,24.3594,50.38928,27.14354,169.3056,23.93,65.66,0.247,261.3,7.933,995.4111,0.3520655,0.2242792
01/01/2020 21:00:00,28877,13.71,0,0,0.1150447,0.1123497,0.1124853,0,23.2,62.91,0.006,125.2,1.811,995.8759,0,0.01450672
01/01/2020 22:00:00,28878,13.71,0,0,0,0,0,0,22.65,73.07,0.174,153.6,4.245,996.2574,0,0.01180204
01/01/2020 23:00:00,28879,13.71,0,0,0,0,0,0,20.96,75.2,0.012,146.4,2,996.5853,0,0.01186143
02/01/2020 00:00:00,28880,13.7,0,0,0,0,0,0,20.55,75.43,0,0,0,996.9506,0,0.01190597
02/01/2020 01:00:00,28881,13.71,0,0,0,0,0,0,19.76,81.2,0.266,207.2,7.201,996.8746,0,0.01190519
02/01/2020 02:00:00,28882,13.71,0,0,0,0,0,0,18.6,85,0,0,0,996.7451,0,0.01195433
02/01/2020 03:00:00,28883,13.71,0,0,0,0,0,0,17.55,88.2,0,0,0,996.3994,0,0.01197183
02/01/2020 04:00:00,28884,13.7,0,0,0,0,0,0,16.8,90.3,0,18.08,0,996.4859,0,0.01200636
02/01/2020 05:00:00,28885,13.7,0,0,0,0,0,0,16.07,91.1,0.376,75.76,9.54,996.7751,0,0.01204472
02/01/2020 06:00:00,28886,13.71,0,0,3.034482,3.081641,2.81657,0,15.79,92,0.516,63.32,17.98,997.0215,0.04712095,0.04491638
02/01/2020 07:00:00,28887,13.7,383.0892,0,33.48514,108.675,35.27108,382.7977,17.06,85.8,0.244,336.5,13.68,997.3703,1.056037,0.4632075
02/01/2020 08:00:00,28888,13.71,748.984,0,55.91852,330.7168,55.93449,761.4653,19.32,82.6,0.974,328.3,20.12,997.8781,4.770585,1.352822
